Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
mountainstatecfc.org,,State Government,West Virginia,accepted term,Mountain State Combined Federal Campaign -- Note added 7/24/14 5:41,http://mountainstatecfc.org/,6/6/13 18:08,combined federal
msblind.org,,State Government,Mississippi,accepted term,"Mississippi Industries for the Blind, a state agency of Mississippi -- Note added 7/25/14 12:47",http://msblind.org/index.htm,6/6/13 18:08,industries blind
msboc.us,,State Government,Mississippi,accepted term,Mississippi State Board of Contractors -- Note added 7/25/14 12:48,http://msboc.us/,6/6/13 18:08,mississippi state
msboxing.org,,State Government,Mississippi,accepted term,Mississippi Athletic Commission -- Note added 7/25/14 12:49,http://www.msboxing.org/,6/6/13 18:08,commission note
msccsp.org,,State Government,Maryland,accepted term,Maryland State Commission on Criminal Sentencing Policy -- Note added 5/27/14 3:25,http://www.msccsp.org/,6/6/13 18:08,maryland state
msema.org,,State Government,Mississippi,accepted term,Mississippi Emergency Management Agency -- Note added 7/25/14 12:51,http://www.msema.org/,6/6/13 18:08,emergency management
mshc.com,,State Government,Mississippi,accepted term,Mississippi Home Corporation -- Note added 7/25/14 12:52,http://mshc.com/,6/6/13 18:08,corporation note
msucares.com,,State Government,Mississippi,accepted term,Mississippi State University Extension -- Note added 7/25/14 12:52,http://msucares.com/,6/6/13 18:08,mississippi state
msue.anr.msu.edu,,State Government,Michigan,accepted term,Michigan State University Extension -- Note added 11/19/13 13:43,http://msue.anr.msu.edu/,6/6/13 18:08,michigan state
msuextension.org,,State Government,Montana,accepted term,Montana State University Extension -- Note added 11/22/13 13:44,http://msuextension.org/,6/6/13 18:08,montana state
mtfacilityfinance.com,,State Government,Montana,accepted term,"Montana Facility Finance Authority, MT Department of Commerce -- Note added 11/22/13 13:46",http://mtfacilityfinance.com/default.mcpx,6/6/13 18:08,finance authority
mtfinanceonline.com,,State Government,Montana,accepted term,"Montana Finance Information Center, MT Department of Commerce -- Note added 11/22/13 13:55",http://mtfinanceonline.com/default.mcpx,6/6/13 18:08,information center
myarkansaslottery.com,,State Government,Arkansas,accepted term,Arkansas Scholarship Lottery -- Note added 6/12/13 14:17,http://myarkansaslottery.com,6/12/13 14:17,lottery note
myflorida.com,,State Government,Florida,accepted term,The official state portal of the State of Florida -- Note added 6/6/13 18:08,http://www.myflorida.com/,6/6/13 18:08,official state
myfloridacfo.com,,State Government,Florida,accepted term,Florida Department of Financial Services -- Note added 7/31/13 17:13,http://www.myfloridacfo.com/,6/6/13 18:08,florida department
myfloridalegal.com,,State Government,Florida,accepted term,Florida Office of the Attorney General -- Note added 1/10/14 19:17,http://myfloridalegal.com/,1/10/14 19:17,florida office
myfloridarx.com,,State Government,Florida,accepted term,Developed by the Florida Attorney General and the Agency for Health Care Administration (AHCA) to help consumers shop for the lowest price in their area for their prescription drugs. -- Note added 1/10/14 19:17,http://myfloridarx.com/,1/10/14 19:17,attorney general
myfwc.com,,State Government,Florida,accepted term,Florida Fish and Wildlife Conservation Commission -- Note added 7/7/14 12:02,http://myfwc.com/,6/6/13 18:08,florida fish
mymarianas.com,,State Government,Northern Mariana Islands,accepted term,Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42,,6/6/13 19:11,travel tourism
nationalarchives.gov.vg,,State Government,Virgin Islands,accepted term,"National Archives and Records Management Unit, Government of the Virgin Islands -- Note added 8/18/14 14:03",http://www.nationalarchives.gov.vg/,8/18/14 14:03,virgin islands
naturalsciences.org,,State Government,North Carolina,accepted term,NC Museum of Natural Sciences -- Note added 11/12/15 15:15,http://naturalsciences.org/index,6/6/13 18:08,nc museum
nc-ddc.org,,State Government,North Carolina,accepted term,NC Council on Developmental Disabilities -- Note added 1/14/14 14:15,http://nc-ddc.org/,6/6/13 18:08,developmental disabilities
nc-educationlottery.org,,State Government,North Carolina,accepted term,North Carolina Education Lottery -- Note added 6/12/13 14:18,,6/6/13 18:08,north carolina
nc-sco.com,,State Government,North Carolina,accepted term,NC State Construction Office -- Note added 9/16/15 13:21,http://www.nc-sco.com/,6/6/13 18:08,nc state
ncabc.com,,State Government,North Carolina,accepted term,North Carolina Alcoholic Beverage Control Commission -- Note added 9/11/15 20:30,http://abc.nc.gov/,6/6/13 18:08,north carolina
ncadfp.org,,State Government,North Carolina,accepted term,NC Agriculture Development & Farmland Preservation Trust Fund -- Note added 11/12/15 15:13,http://ncadfp.org/,6/6/13 18:08,nc agriculture
ncagrgis.com,,State Government,North Carolina,accepted term,"Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42",http://www.ncagr.gov/oep/MHTD/index.htm,6/6/13 18:08,division north
