Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
nclocksmithboard.org,,State Government,North Carolina,accepted term,The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48,http://www.nclocksmithboard.org/,6/6/13 18:08,north carolina
ncmail.net,,State Government,North Carolina,accepted term,State of North Carolina Office of Information Technology Services -- Note added 9/15/15 16:49,http://www.ncmail.net/,6/6/13 18:08,state north
ncmaritimemuseums.com,,State Government,North Carolina,accepted term,North Carolina Maritime Museum System -- Note added 8/2/13 15:50,http://ncmaritimemuseums.com/,6/6/13 18:08,north carolina
ncmarkers.com,,State Government,North Carolina,accepted term,"North Carolina Highway Historical Marker Program, NC Department of Cultural Resources -- Note added 11/12/15 13:19",http://ncmarkers.com/Home.aspx,6/6/13 18:08,north carolina
ncmedboard.org,,State Government,North Carolina,accepted term,NC Medical Board -- Note added 9/15/15 16:53,http://www.ncmedboard.org/,6/6/13 18:08,medical board
ncmedicaidpbm.com,,State Government,North Carolina,accepted term,NC Division of Medical Assistance -- Note added 9/15/15 16:54,http://www2.ncdhhs.gov/dma/,6/6/13 18:08,nc division
ncminorityhealth.org,,State Government,North Carolina,accepted term,N.C. Office of Minority Health and Health Disparities -- Note added 9/15/15 16:55,http://ncminorityhealth.org/,6/6/13 18:08,nc office
ncmotorfleet.com,,State Government,North Carolina,accepted term,NC Motor fleet management -- Note added 9/15/15 16:55,http://www.ncmotorfleet.com/,6/6/13 18:08,management note
ncnar.org,,State Government,North Carolina,accepted term,The N.C. Health Care Personnel Registry Section   -- Note added 9/15/15 16:56,https://www.ncnar.org/index1.jsp,6/6/13 18:08,nc health
ncnewbornhearing.org,,State Government,North Carolina,accepted term,Early Hearing Detection and Intervention Program (NC DHHS &gt; DPH &gt; WCH Section &gt; Children and Youth Branch) -- Note added 11/12/15 13:18,http://ncnewbornhearing.org/,6/6/13 18:08,program nc
ncnhp.org,,State Government,North Carolina,accepted term,The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56,http://ncnhp.org/,6/6/13 18:08,north carolina
ncnhtf.org,,State Government,North Carolina,accepted term,"Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15",,6/6/13 18:08,north carolina
ncoah.com,,State Government,North Carolina,accepted term,North Carolina Office of Administrative Hearings -- Note added 9/15/15 16:57,http://www.ncoah.com/,6/6/13 18:08,north carolina
ncoes.net,,State Government,North Carolina,accepted term,Welcome to the Grand Chapter of NC Order of the Eastern Star -- Note added 9/15/15 16:57,http://www.oes-nc.org/,6/6/13 18:08,note added
nconemap.com,,State Government,North Carolina,accepted term,NC OneMap is a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 9/15/15 16:58,http://nconemap.com/,6/6/13 18:08,nc onemap
nconemap.net,,State Government,North Carolina,accepted term,"NC OneMap, a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 11/12/15 13:13",http://nconemap.net/,6/6/13 18:08,nc onemap
ncoptometry.org,,State Government,North Carolina,accepted term,he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58,http://web1.ncoptometry.org/,6/6/13 18:08,north carolina
ncpanbranch.com,,State Government,,accepted term,"NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12",,6/6/13 18:08,branch nc
ncports.com,,State Government,North Carolina,accepted term,NC ports  -- Note added 9/15/15 17:03,http://www.ncports.com/,6/6/13 18:08,note added
ncprogress.org,,State Government,North Carolina,accepted term,NC Progress Portal -- Note added 9/15/15 17:03,http://ncprogress.org/,6/6/13 18:08,note added
ncpsychologyboard.org,,State Government,North Carolina,accepted term,nc psychology board -- Note added 9/15/15 17:03,http://ncpsychologyboard.org/,6/6/13 18:08,board note
ncptboard.org,,State Government,North Carolina,accepted term,The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04,http://ncptboard.org/,6/6/13 18:08,north carolina
ncpublications.com,,State Government,North Carolina,accepted term,"Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com -- Note added 6/6/13 18:34",http://ncpublications.com/,6/6/13 18:09,north carolina
ncpublichealth.com,,State Government,North Carolina,accepted term,North Carolina Division of Public Health -- Note added 7/26/13 15:09,http://ncpublichealth.com/,6/6/13 18:08,north carolina
ncpublicschools.org,,State Government,North Carolina,accepted term,nc public schools -- Note added 9/15/15 17:05,http://www.dpi.state.nc.us/,6/6/13 18:08,nc public
ncradiation.net,,State Government,North Carolina,accepted term,"Radiation Protection Section, NC Department of Health and Human Services -- Note added 1/14/14 14:18",http://ncradiation.net/,6/6/13 18:08,section nc
ncradon.org,,State Government,North Carolina,accepted term,NC Radon Awarenes Site -- Note added 9/15/15 17:05,http://ncradon.org/Home.html,6/6/13 18:08,site note
ncrb.org,,State Government,North Carolina,accepted term,"We serve the NC insurance industry by providing services and programs for automobile, property and workers compensation insurance. This site contains information for these types of insurance. -- Note added 9/15/15 17:06",http://ncrb.org/,6/6/13 18:08,workers compensation
ncrcb.org,,State Government,North Carolina,accepted term,the North Carolina Respiratory Care   -- Note added 9/15/15 17:13,http://ncrcb.org/,6/6/13 18:08,north carolina
ncrea.net,,State Government,North Carolina,accepted term,North Carolina Rural Electrification Authority -- Note added 9/15/15 17:14,http://ncrea.net/,6/6/13 18:08,north carolina
ncrehs.com,,State Government,North Carolina,accepted term,NC State Board of Environmental Health Specialist Examiners -- Note added 11/19/13 20:40,http://ncrehs.com/,11/19/13 20:40,nc state
ncreportcards.org,,State Government,North Carolina,accepted term,nc report cards for schools -- Note added 9/15/15 17:16,http://www.ncreportcards.org/src/,6/6/13 18:08,schools note
ncscienceandtechnology.com,,State Government,North Carolina,accepted term,nc science and technology -- Note added 9/15/15 17:17,http://www.nccommerce.com/sti/,6/6/13 18:08,note added
ncsd.net,,State Government,North Carolina,accepted term,NC School for the deaf -- Note added 9/15/15 17:17,http://ncsd.net/,6/6/13 18:08,nc school
ncsecc.org,,State Government,North Carolina,accepted term,NC State Employees Combined Campaign -- Note added 9/15/15 17:18,http://www.ncsecc.org/,6/6/13 18:08,nc state
ncshiip.com,,State Government,,accepted term,North Carolina Seniors' Health Insurance Information Program (SHIIP) -- Note added 1/22/14 19:19,,1/22/14 19:19,north carolina
ncsicklecellprogram.org,,State Government,North Carolina,accepted term,"North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09",http://ncsicklecellprogram.org/,6/6/13 18:08,north carolina
ncsip.org,,State Government,North Carolina,accepted term,The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19,http://ncsip.org/,6/6/13 18:08,north carolina
ncsitesearch.com,,State Government,North Carolina,accepted term,"Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. -- Note added 9/15/15 17:19",http://accessnc.commerce.state.nc.us/EDIS/page1.html,6/6/13 18:08,north carolina
ncstars.org,,State Government,North Carolina,accepted term,"The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star, management, labor and OSH establish a cooperative relationship at a workplace that has implemented a strong program. -- Note added 9/15/15 17:20",http://www.nclabor.com/osha/star/star.htm,6/6/13 18:08,program note
ncstatefair.org,,State Government,North Carolina,accepted term,NC state Fair -- Note added 9/15/15 17:20,http://ncstatefair.org/,6/6/13 18:08,nc state
ncstormwater.org,,State Government,North Carolina,accepted term,NC Stormwater and Runoff pollution site -- Note added 9/15/15 17:22,http://www.ncstormwater.org/,6/6/13 18:08,site note
ncsu.edu/extension,,State Government,North Carolina,accepted term,NC State Univ Extension  -- Note added 9/15/15 17:22,http://oe.ncsu.edu/,6/6/13 18:08,nc state
ncswboard.org,,State Government,North Carolina,accepted term,North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:12,http://www.ncswboard.org/,9/22/15 14:11,north carolina
ncsymphony.org,,State Government,North Carolina,accepted term,NC Symphony -- Note added 9/15/15 17:22,http://ncsymphony.org/,6/6/13 18:08,note added
nctobaccofreeschools.org,,State Government,North Carolina,accepted term,"Tobacco Free Schools, NC Department of Health and Human Services -- Note added 2/25/14 13:20",http://nctobaccofreeschools.org/,6/6/13 18:08,nc department
nctokyo.com,,State Government,North Carolina,candidate term,State of North Carolina Japan Office -- Note added 7/24/13 16:40,,6/6/13 18:08,state north
nctopps.ncdmh.net,,State Government,North Carolina,accepted term,NC-TOPPS homepage is now http://www.ncdhhs.gov/MHDDSAS/providers/NCTOPPS/index.htm. Entry still included here for nctopps.ncdmh.net pattern for pages such as https://www.google.com/search?q=site%3Anctopps.ncdmh.net. -- Note added 7/23/14 14:41,https://nctopps.ncdmh.net/Nctopps2/Login.aspx,6/6/13 18:08,note added
nctraining.ncgov.com,,State Government,North Carolina,accepted term,NC Office of State Personnel -- Note added 1/14/14 13:06,,6/6/13 18:08,nc office
nctrans.org,,State Government,North Carolina,accepted term,NC Transportation Museum -- Note added 9/15/15 17:25,http://nctrans.org/,6/6/13 18:08,note added
nctreasurer.com,,State Government,North Carolina,accepted term,North Carolina Department of State Treasurer -- Note added 6/6/13 18:09,https://www.nctreasurer.com/Pages/default.aspx,6/6/13 18:09,north carolina
ncvmb.org,,State Government,North Carolina,accepted term,North Carolina Veterinary Medical Board -- Note added 9/15/15 17:30,http://www.ncvmb.org/,6/6/13 18:08,north carolina
ncwastetrader.org,,State Government,North Carolina,accepted term,North Carolina's marketplace for discarded or surplus materials and products. -- Note added 9/15/15 17:31,http://ncwastetrader.org/,6/6/13 18:08,north carolinas
ncwater.org,,State Government,North Carolina,accepted term,NC Division of Water Resources -- Note added 9/15/15 17:31,http://portal.ncdenr.org/web/wq,6/6/13 18:08,nc division
ncwaterquality.org,,State Government,North Carolina,accepted term,North Carolina Division of Water Resources -- Note added 11/12/15 12:58,http://ncwaterquality.org/,6/6/13 18:08,north carolina
ncwelldriller.org,,State Government,North Carolina,accepted term,"North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. -- Note added 11/12/15 12:57",http://ncwelldriller.org/,6/6/13 18:08,north carolina
ncwildlife.org,,State Government,North Carolina,accepted term,nc wildlife resource commission  -- Note added 9/15/15 17:32,http://www.ncwildlife.org/,6/6/13 18:08,commission note
ncwise.org,,State Government,North Carolina,accepted term,"NC WiseOwl (NC Online Windows for Learning) has been providing online subscription resources for our schools since 1999.  Our mission is to ensure that all of our public and charter school students have access to a collection of online resources for use in research projects and homework assignments, without regard to the economic status of their local school system.  NC WiseOwl has three major strengths as an educational resource: -- Note added 9/15/15 17:33",http://www.ncwiseowl.org/,6/6/13 18:08,nc wiseowl
nczoo.org,,State Government,North Carolina,accepted term,NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources -- Note added 11/12/15 12:48,http://nczoo.org/,6/6/13 18:08,north carolina
ndlc.org,,State Government,North Dakota,accepted term,North Dakota League of Cities -- Note added 7/22/14 6:08,http://ndlc.org/,6/6/13 18:08,north dakota
ndow.org,,State Government,Nevada,accepted term,Nevada Department of Wildlife -- Note added 1/27/14 20:15,http://www.ndow.org/,1/27/14 20:15,nevada department
ndowlicensing.com,,State Government,Nevada,accepted term,Nevada Department of Wildlife (NDOW) Licensing -- Note added 10/21/13 11:53,http://ndowlicensing.com/(icssjp55e1iayk45fcrthaut)/Default.aspx,10/21/13 11:53,nevada department
ndrin.org,,State Government,North Dakota,accepted term,North Dakota Recorders Information Network -- Note added 7/21/14 6:33,http://ndrin.org/,6/6/13 18:08,north dakota
ndtourism.com,,State Government,North Dakota,accepted term,Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42,http://www.ndtourism.com/,6/6/13 18:08,travel tourism
ne-ethanol.org,,State Government,Nebraska,accepted term,Nebraska Ethanol Board -- Note added 12/6/13 19:53,,12/6/13 19:53,board note
neagrelations.org,,State Government,Nebraska,accepted term,Nebraska AgRelations Council -- Note added 12/6/13 19:45,http://www.neagrelations.org/,12/6/13 19:44,council note
neatp.org,,State Government,Nebraska,accepted term,Nebraska Association of Transportation Providers -- Note added 12/6/13 20:02,http://www.neatp.org/,12/6/13 20:02,note added
nebraskaartscouncil.org,,State Government,Nebraska,accepted term,"Nebraska Arts Council. The Council is funded by the State of Nebraska, the National Endowment for the Arts, and the Nebraska Cultural Endowment. -- Note added 12/6/13 19:38",http://www.nebraskaartscouncil.org/,6/6/13 18:08,arts council
nebraskacorn.org,,State Government,Nebraska,accepted term,Nebraska Corn Board -- Note added 12/6/13 19:41,http://www.nebraskacorn.org/,6/6/13 18:08,board note
nebraskadrybean.com,,State Government,Nebraska,accepted term,Nebraska Dry Bean Commission -- Note added 12/6/13 19:49,http://nebraskadrybean.com/,6/6/13 18:08,commission note
nebraskahistory.org,,State Government,Nebraska,accepted term,Nebraska State Historical Society -- Note added 12/9/13 18:24,http://www.nebraskahistory.org/,6/6/13 18:08,nebraska state
nebraskaracingcommission.com,,State Government,Nebraska,accepted term,Nebraska State Racing Commission -- Note added 12/6/13 20:01,http://nebraskaracingcommission.com/,12/6/13 20:00,nebraska state
nebraskawheat.com,,State Government,Nebraska,accepted term,Nebraska Wheat Board -- Note added 12/6/13 20:06,http://www.nebraskawheat.com/,6/6/13 18:08,board note
neded.org,,State Government,Nebraska,accepted term,Nebraska Department of Economic Development -- Note added 12/6/13 19:50,http://www.neded.org/,12/6/13 19:50,economic development
nelottery.com,,State Government,Nebraska,accepted term,Nebraska Lottery -- Note added 6/12/13 14:18,http://nelottery.com/,6/6/13 18:08,lottery note
nevadadot.com,,State Government,Nevada,accepted term,Nevada Department of Transportation -- Note added 6/26/13 15:23,http://nevadadot.com/,6/6/13 18:08,nevada department
nevadajudiciary.us,,State Government,Nevada,accepted term,The Nevada Judiciary -- Note added 1/24/14 13:06,http://www.nevadajudiciary.us/,1/24/14 13:05,note added
newmexico.org,,State Government,New Mexico,accepted term,Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42,http://www.newmexico.org/,6/6/13 19:11,travel tourism
newpa.com,,State Government,Pennsylvania,accepted term,Pennsylvania Department of Community & Economic Development -- Note added 6/6/13 18:08,http://www.newpa.com/,6/6/13 18:08,economic development
nfs.unl.edu,,State Government,Nebraska,accepted term,Nebraska Forest Service -- Note added 12/6/13 19:55,http://nfs.unl.edu/,12/6/13 19:54,forest service
nhhistory.org,,State Government,New Hampshire,accepted term,NH Historical Society -- Note added 9/2/15 19:01,http://nhhistory.org/,6/6/13 18:08,historical society
nhlgc.org,,State Government,New Hampshire,accepted term,NH Municipal Association -- Note added 9/2/15 19:02,https://www.nhmunicipal.org/,6/6/13 18:08,association note
nhlottery.org,,State Government,New Hampshire,accepted term,New Hampshire Lottery Commission -- Note added 6/12/13 14:19,,6/6/13 18:08,commission note
nhstateparks.org,,State Government,New Hampshire,accepted term,NH State Parks -- Note added 9/2/15 19:03,http://www.nhstateparks.org/,6/6/13 18:08,nh state
njeda.com,,State Government,New Jersey,accepted term,New Jersey Economic Development Authority -- Note added 9/16/15 15:52,http://njeda.com/,6/6/13 18:08,new jersey
njfishandwildlife.com,,State Government,New Jersey,accepted term,"Division of Fish and Wildlife, NJ Department of Environmental Protection -- Note added 6/7/13 11:33",http://njfishandwildlife.com/,6/7/13 11:31,fish wildlife
njstatelib.org,,State Government,New Jersey,accepted term,New Jersey State Library -- Note added 7/26/13 16:17,http://www.njstatelib.org/,6/6/13 18:08,new jersey
njsurcharge.com,,State Government,New Jersey,accepted term,New Jersey Surcharge Violation System (NJSVS) -- Note added 9/16/15 15:53,https://www1.state.nj.us/TYTR_NJAISC_Web/index.jsp,6/6/13 18:08,new jersey
njuifile.net,,State Government,New Jersey,accepted term,Department of Labor and Workforce Development   -- Note added 9/16/15 15:53,https://njsuccess.dol.state.nj.us/html/uimain.html,6/6/13 18:08,department labor
nmlottery.com,,State Government,New Mexico,accepted term,New Mexico Lottery -- Note added 6/12/13 14:20,http://www.nmlottery.com/,6/6/13 18:08,new mexico
nmtracking.org,,State Government,New Mexico,accepted term,New Mexico Environmental Public Health Tracking -- Note added 10/24/14 12:11,https://nmtracking.org/,10/24/14 12:11,new mexico
nmwic.org,,State Government,New Mexico,accepted term,"Special Supplemental Nutrition Program for New Mexico Women, Infants & Children -- Note added 1/10/14 19:17",http://nmwic.org/,1/10/14 19:17,new mexico
nutritionnc.com,,State Government,North Carolina,accepted term,"Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  -- Note added 3/20/14 16:33",http://nutritionnc.com/,6/6/13 18:08,childrens health
nvaging.net,,State Government,Nevada,accepted term,"Aging and Disability Services Division, Department of Health and Human Services, State of Nevada -- Note added 6/17/13 15:40",,6/17/13 15:39,disability services
nycom.org,,State Government,New York,accepted term,New York State Conference of Mayors and Municipal Officials (NYCOM) -- Note added 7/2/15 10:49,http://nycom.org/,6/6/13 18:08,new york
nyhistory.org,,State Government,New York,accepted term,New York Historical Society Museum and Library -- Note added 7/2/15 10:50,http://nyhistory.org/,6/6/13 18:08,new york
nysca.org,,State Government,New York,accepted term,New York State Council on the Arts -- Note added 7/2/15 10:51,http://nysca.org/,6/6/13 18:08,new york
nysegov.com,,State Government,New York,accepted term,New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35,http://nysegov.com/citGuide.cfm?displaymode=normal,9/25/13 15:34,new york
nysfair.org,,State Government,New York,accepted term,New York State Fair -- Note added 6/12/13 18:48,http://www.nysfair.org/,6/12/13 18:47,new york
nyshcr.org,,State Government,New York,accepted term,New York State Homes and Community Renewal -- Note added 9/9/15 13:48,http://www.nyshcr.org/,6/6/13 18:08,new york
nyslgitda.org,,State Government,New York,accepted term,New York State Local Government IT Directors Association (NYSLGITDA) -- Note added 7/2/15 10:59,http://nyslgitda.org/,6/6/13 18:08,new york
nytrooper.com,,State Government,New York,accepted term,New York State Police Recruitment Center -- Note added 1/3/14 13:14,http://nytrooper.com/,1/3/14 13:14,new york
occeweb.com,,State Government,Oklahoma,accepted term,OK Corporation Commission -- Note added 8/28/15 18:20,http://occeweb.com/,6/6/13 18:08,commission note
oha.org,,State Government,Hawaii,accepted term,"Office of Hawaiian Affairs - 'Under the direction of nine trustees elected statewide, OHA has functioned operationally as both a government agency with a strong degree of autonomy, and as a trust.' -- Note added 6/12/13 13:27",http://www.oha.org/,6/6/13 18:08,trust note
ohiobwc.com,,State Government,Ohio,accepted term,Ohio Bureau of Workers' Compensation -- Note added 3/26/14 18:21,https://www.bwc.ohio.gov/,6/6/13 18:08,workers compensation
ohiohumanities.org,,State Government,Ohio,accepted term,Ohio Humanities Council -- Note added 3/26/14 18:28,http://ohiohumanities.org/,6/6/13 18:08,humanities council
ohiolottery.com,,State Government,Ohio,accepted term,Ohio Lottery -- Note added 6/12/13 14:22,http://www.ohiolottery.com/,6/6/13 18:08,lottery note
ohiorecorders.com,,State Government,Ohio,accepted term,Ohio Recorders' Association -- Note added 3/26/14 18:36,http://ohiorecorders.com/,6/6/13 18:08,association note
ohs.org,,State Government,Oregon,accepted term,Oregon Historical Society -- Note added 6/20/14 7:38,http://ohs.org/,6/6/13 18:08,historical society
okcareertech.org,,State Government,Oklahoma,accepted term,OK career tech website -- Note added 8/28/15 18:21,http://www.okcareertech.org/,6/6/13 18:08,website note
okdhs.org,,State Government,Oklahoma,accepted term,OK dept of human services -- Note added 8/28/15 18:21,http://okdhs.org/,6/6/13 18:08,human services
oklibshare.org,,State Government,Oklahoma,accepted term,"OKLibShare, Oklahoma Department of Libraries -- Note added 8/27/15 16:00",http://odl.oklibshare.org/,8/27/15 15:59,oklahoma department
oklpgas.org,,State Government,Oklahoma,accepted term,OK LP Gas commission -- Note added 8/28/15 18:22,http://oklpgas.org/,6/6/13 18:08,commission note
olmsteadva.com,,State Government,Virginia,accepted term,State of Virginia Olmstead Initiative -- Note added 8/27/15 14:13,http://olmsteadva.com/,8/27/15 14:12,note added
omlohio.org,,State Government,Ohio,accepted term,Ohio Municipal League -- Note added 3/26/14 18:40,http://omlohio.org/,6/6/13 18:08,note added
onencnaturally.org,,State Government,North Carolina,accepted term,"Office of Land and Water Stewardship, a non-regulatory division within North Carolina's DENR that provides information and assistance to support effective conservation and resilient communities.  -- Note added 11/12/15 12:36",http://onencnaturally.org/,6/6/13 18:09,north carolinas
oregonartscommission.org,,State Government,Oregon,accepted term,Oregon Arts Commission -- Note added 6/20/14 7:34,http://www.oregonartscommission.org/,6/6/13 18:08,arts commission
oregonfilm.org,,State Government,Oregon,accepted term,Oregon Governor's Office of Film and Television -- Note added 3/20/14 16:53,http://oregonfilm.org/,6/6/13 18:08,governors office
oregonlottery.org,,State Government,Oregon,accepted term,Oregon Lottery -- Note added 6/12/13 14:22,http://oregonlottery.org/,6/6/13 18:08,lottery note
oregonstatefair.org,,State Government,Oregon,accepted term,Oregon State Fair -- Note added 6/20/14 7:22,http://oregonstatefair.org/,6/6/13 18:08,oregon state
origins.ou.edu,,State Government,Oklahoma,accepted term,"The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. -- Note added 8/28/15 18:22",http://origins.ou.edu/,6/6/13 18:08,information network
osbckansas.org,,State Government,Kansas,accepted term,Office of the State Bank Commissioner of Kansas -- Note added 7/10/14 6:29,http://www.osbckansas.org/,6/6/13 18:08,office state
oscn.net,,State Government,Oklahoma,accepted term,OK State Court System -- Note added 8/28/15 18:23,http://www.oscn.net/v4/,6/6/13 18:08,ok state
ospmd.org,,State Government,Maryland,accepted term,Office of the Maryland State Prosecutor -- Note added 5/27/14 3:40,http://www.osp.maryland.gov/,6/6/13 18:08,maryland state
p2pays.org,,State Government,North Carolina,accepted term,North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43,http://p2pays.org/,6/6/13 18:08,north carolina
pacast.com,,State Government,Pennsylvania,accepted term,Commonwealth of Pennsylvania's media hub -- Note added 6/6/13 18:08,http://pacast.com/,6/6/13 18:08,note added
pacourts.us,,State Government,Pennsylvania,accepted term,Unified Judicial System of Pennsylvania -- Note added 1/10/14 15:20,http://www.pacourts.us/,6/6/13 18:08,pennsylvania note
paehealth.com,,State Government,Pennsylvania,accepted term,PA eHealth Partnership Authority -- Note added 6/7/13 11:53,http://www.paehealth.org/index.php,6/7/13 11:53,authority note
pafirstnet.com,,State Government,Pennsylvania,accepted term,Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.  -- Note added 9/24/14 16:11,http://pafirstnet.com/,9/24/14 16:09,note added
palaugov.org,,State Government,Palau,accepted term,Republic of Palau National Government -- Note added 6/7/13 18:27,http://palaugov.org/,6/6/13 18:08,national government
palausupremecourt.net,,State Government,Palau,accepted term,Palau Judiciary Branch -- Note added 5/27/14 15:03,http://www.palausupremecourt.net/,5/27/14 15:02,branch note
paonews.net,,State Government,Georgia,accepted term,Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.,https://paonews.net/,2/23/22 0:00,georgia state
parkswildlifefoundation.org,,State Government,South Dakota,accepted term,South Dakota Parks & Wildlife Foundation -- Note added 7/17/14 5:50,http://parkswildlifefoundation.org/,6/6/13 18:08,south dakota
passhe.edu,,State Government,Pennsylvania,accepted term,PA State System of Higher Education -- Note added 6/7/13 11:53,http://www.passhe.edu/Pages/default.aspx,6/7/13 11:53,pa state
patientsafetyauthority.org,,State Government,Pennsylvania,accepted term,PA Patient Safety Authority -- Note added 6/7/13 11:53,http://patientsafetyauthority.org/Pages/Default.aspx,6/7/13 11:53,authority note
paturnpike.com,,State Government,Pennsylvania,accepted term,Pennsylvania Turnpike Commission -- Note added 10/1/14 18:05,http://www.paturnpike.com/,6/6/13 18:08,commission note
phc4.org,,State Government,Pennsylvania,accepted term,PA Health Care Cost Containment Council -- Note added 6/7/13 11:53,http://www.phc4.org/,6/7/13 11:53,health care
pheaa.org,,State Government,Pennsylvania,accepted term,PA Higher Education Assistance Agency -- Note added 6/7/13 11:53,http://www.pheaa.org/,6/7/13 11:53,pa higher
phefa.org,,State Government,Pennsylvania,accepted term,PA Higher Educational Facilities Authority -- Note added 6/7/13 11:53,http://phefa.org/,6/7/13 11:53,pa higher
phfa.org,,State Government,Pennsylvania,accepted term,PA Housing Finance Agency -- Note added 6/7/13 11:53,http://phfa.org/,6/7/13 11:53,housing finance
phwd.net,,State Government,Mississippi,accepted term,"Pat Harrison Waterway District (PHWD), a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi -- Note added 1/13/14 20:28",http://phwd.net/,6/6/13 18:09,pat harrison
port-of-charleston.com,,State Government,South Carolina,accepted term,South Carolina Ports Authority -- Note added 6/6/13 18:08,http://port-of-charleston.com/,6/6/13 18:08,south carolina
portofvirginia.com,,State Government,Virginia,accepted term,The Port of Virginia -- Note added 7/14/14 17:09,http://www.portofvirginia.com/,7/14/14 17:08,virginia note
potatoes.com,,State Government,Washington,accepted term,Washington State Potato Commission -- Note added 11/17/14 7:11,http://potatoes.com/,6/6/13 18:08,washington state
preserveala.org,,State Government,Alabama,accepted term,"Alabama Historical Commission, State of Alabama Historic Preservation Office -- Note added 7/15/13 18:19",http://preserveala.org/,6/6/13 18:08,state alabama
qaronline.org,,State Government,North Carolina,accepted term,"Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34",http://www.qaronline.org/,6/6/13 18:09,north carolina
qis.net/~uef,,State Government,Maryland,accepted term,"Uninsured Employers' Fund, State of Maryland -- Note added 11/20/13 17:37",http://www.qis.net/~uef/,6/6/13 18:08,maryland note
rd.okstate.edu,,State Government,Oklahoma,accepted term,OK State AG Econ at OSU -- Note added 8/28/15 18:25,http://rd.okstate.edu/,6/6/13 18:08,ok state
readync.org,,State Government,North Carolina,accepted term,"Ready NC, NC Department of Public Safety -- Note added 1/14/14 14:35",http://readync.org/,6/6/13 18:08,nc department
readypa.org,,State Government,Pennsylvania,accepted term,"Ready PA, Pennsylvania Emergency Management Agency -- Note added 4/16/14 15:38",http://www.pema.pa.gov/planningandpreparedness/readypa/pages/readypa.aspx#.VCxbMhbAs9o,4/16/14 15:03,emergency management
red-raspberry.org,,State Government,Washington,accepted term,Washington Red Raspberry Commission -- Note added 11/17/14 7:07,http://red-raspberry.org/,6/6/13 18:08,commission note
refrigerationboard.org,,State Government,North Carolina,accepted term,The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47,http://refrigerationboard.org/,6/6/13 18:08,state board
rehabworks.org,,State Government,Florida,accepted term,Division of Vocational Rehabilitation - Florida Department of Education -- Note added 7/1/15 18:43,http://rehabworks.org/,6/6/13 18:08,division vocational
ricwfa.com,,State Government,Rhode Island,accepted term,Rhode Island Clean Water Finance Agency -- Note added 1/27/14 19:35,http://www.ricwfa.com/,1/27/14 19:34,rhode island
riinspection.org,,State Government,Rhode Island,accepted term,Rhode Island Emissions and Safety Testing -- Note added 1/7/14 18:45,http://www.riinspection.org/,1/7/14 18:45,rhode island
rilot.com,,State Government,Rhode Island,accepted term,Rhode Island Lottery -- Note added 6/7/13 18:46,,6/6/13 18:08,rhode island
